*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=circuitoMain
*Date=22:11:16
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;191.618;-212.047;0;Bottom;Via170
2;;;150.978;-239.987;0;Bottom;Via119
3;;;84.9384;-156.167;0;Bottom;Via153
4;;;51.9184;-252.687;0;Bottom;Via40
5;;;117.958;-234.907;0;Bottom;Via110
6;;TO92 [THT];272.708;-156.078;0;Bottom;Q22
7;;TO92 [THT];272.708;-260.218;0;Bottom;Q19
8;;;186.538;-69.8073;0;Bottom;Via70
9;;;229.718;-69.8073;0;Bottom;Via93
10;;;56.9984;-69.8073;0;Bottom;Via81
11;;;150.978;-140.927;0;Bottom;Via182
12;;;183.998;-69.8073;0;Bottom;Via68
13;;;219.558;-69.8073;0;Bottom;Via66
14;;;171.298;-224.747;0;Bottom;Via15
15;;;115.418;-239.987;0;Bottom;Via113
16;;;138.278;-69.8073;0;Bottom;Via77
17;;;168.758;-184.107;0;Bottom;Via161
18;;TO92 [THT];206.668;-90.0383;0;Bottom;Q54
19;;;117.958;-214.587;0;Bottom;Via112
20;;;293.219;-290.787;0;Bottom;Via56
21;;;156.058;-163.787;0;Bottom;Via135
22;;TO92 [THT];216.828;-90.0383;0;Bottom;Q55
23;;;26.5184;-69.8073;0;Bottom;Via100
24;;TO92 [THT];272.708;-227.198;0;Bottom;Q13
25;;TO92 [THT];272.708;-176.398;0;Bottom;Q18
26;;TO92 [THT];107.608;-280.538;0;Bottom;Q43
27;;;293.219;-69.8073;0;Bottom;Via60
28;;DIP16 [THT];81.1285;-137.117;-90;Bottom;U7
29;;;209.398;-69.8073;0;Bottom;Via67
30;;TO92 [THT];186.348;-90.0383;0;Bottom;Q52
31;;;115.418;-153.627;0;Bottom;Via173
32;;;79.8584;-153.627;0;Bottom;Via176
33;;;176.378;-179.027;0;Bottom;Via128
34;;DIP16 [THT];164.949;-137.117;-90;Bottom;U5
35;;;84.9384;-191.727;0;Bottom;Via151
36;;;87.4785;-69.8072;0;Bottom;Via103
37;;TO92 [THT];166.028;-90.0383;0;Bottom;Q46
38;;;166.218;-239.987;0;Bottom;Via121
39;;;72.2384;-222.207;0;Bottom;Via108
40;;TO92 [THT];92.368;-280.538;0;Bottom;Q28
41;;TO92 [THT];79.668;-280.538;0;Bottom;Q27
42;;;293.219;-186.647;0;Bottom;Via51
43;;;250.038;-69.8073;0;Bottom;Via63
44;;;161.138;-69.8073;0;Bottom;Via88
45;;TO92 [THT];272.708;-133.218;0;Bottom;Q24
46;;;176.378;-194.267;0;Bottom;Via126
47;;;293.219;-146.007;0;Bottom;Via55
48;;;82.3984;-156.167;0;Bottom;Via148
49;;;110.338;-237.447;0;Bottom;Via14
50;;;173.838;-184.107;0;Bottom;Via162
51;;;163.678;-239.987;0;Bottom;Via140
52;;;130.658;-153.627;0;Bottom;Via132
53;;TO92 [THT];135.548;-280.538;0;Bottom;Q31
54;;;194.158;-217.127;0;Bottom;Via124
55;;TO92 [THT];64.428;-90.0383;0;Bottom;Q59
56;;TO92 [THT];94.908;-90.0383;0;Bottom;Q7
57;;;140.818;-69.8073;0;Bottom;Via87
58;;TO92 [THT];211.748;-280.538;0;Bottom;Q37
59;;;115.418;-234.907;0;Bottom;Via114
60;;;125.578;-146.007;0;Bottom;Via21
61;;;293.219;-260.307;0;Bottom;Via43
62;;;176.378;-229.827;0;Bottom;Via123
63;;TO92 [THT];160.948;-280.538;0;Bottom;Q33
64;;;166.218;-156.167;0;Bottom;Via158
65;;;161.138;-239.987;0;Bottom;Via149
66;;;163.678;-227.287;0;Bottom;Via143
67;;;171.298;-171.407;0;Bottom;Via133
68;;;189.027;-234.931;0;Bottom;Via165
69;;;36.6784;-69.8073;0;Bottom;Via83
70;;TO92 [THT];74.588;-90.0383;0;Bottom;Q8
71;;;171.298;-69.8073;0;Bottom;Via89
72;;;171.298;-186.647;0;Bottom;Via99
73;;TO92 [THT];234.608;-280.538;0;Bottom;Q39
74;;;232.258;-69.8073;0;Bottom;Via65
75;;TO92 [THT];272.708;-166.238;0;Bottom;Q21
76;;;186.538;-229.827;0;Bottom;Via169
77;;;229.718;-69.8073;0;Bottom;Via91
78;;TO92 [THT];226.988;-90.0383;0;Bottom;Q56
79;;TO92 [THT];8.548;-79.8783;0;Bottom;Q63
80;;;168.758;-179.027;0;Bottom;Via156
81;;;293.219;-237.447;0;Bottom;Via45
82;;;110.338;-265.387;0;Bottom;Via1
83;;TO92 [THT];272.708;-272.918;0;Bottom;Q20
84;;;120.498;-227.287;0;Bottom;Via105
85;;;293.219;-133.307;0;Bottom;Via57
86;;TO92 [THT];122.848;-280.538;0;Bottom;Q30
87;;;150.978;-69.8073;0;Bottom;Via73
88;;;293.219;-166.327;0;Bottom;Via53
89;;;227.178;-115.527;0;Bottom;Via11
90;;;168.758;-156.167;0;Bottom;Via159
91;;;161.138;-227.287;0;Bottom;Via150
92;;TO92 [THT];237.148;-90.0383;0;Bottom;Q62
93;;TO92 [THT];54.268;-90.0383;0;Bottom;Q58
94;;TO92 [THT];173.648;-280.538;0;Bottom;Q34
95;;TO92 [THT];155.868;-90.0383;0;Bottom;Q47
96;;;115.418;-217.127;0;Bottom;Via116
97;;TO92 [THT];272.708;-237.358;0;Bottom;Q12
98;;DIP16 [THT];164.949;-248.877;90;Bottom;U2
99;;;49.3784;-290.787;0;Bottom;Via41
100;;;173.838;-148.547;0;Bottom;Via19
101;;;67.1584;-69.8073;0;Bottom;Via101
102;;TO92 [THT];33.948;-90.0383;0;Bottom;Q45
103;;;199.238;-69.8073;0;Bottom;Via90
104;;;117.958;-156.167;0;Bottom;Via147
105;;TO92 [THT];115.228;-90.0383;0;Bottom;Q4
106;;;293.219;-206.967;0;Bottom;Via50
107;;;163.678;-214.587;0;Bottom;Via142
108;;DIP16 [THT];200.509;-180.297;180;Bottom;U4
109;;;117.958;-239.987;0;Bottom;Via109
110;;;156.058;-234.907;0;Bottom;Via164
111;;TO92 [THT];272.708;-186.558;0;Bottom;Q17
112;;;173.838;-222.207;0;Bottom;Via160
113;;DIP16 [THT];200.509;-218.397;180;Bottom;U3
114;;;163.678;-153.627;0;Bottom;Via131
115;;;120.498;-69.8073;0;Bottom;Via78
116;;;120.498;-156.167;0;Bottom;Via174
117;;TO92 [THT];272.708;-123.058;0;Bottom;Q25
118;;TO92 [THT];272.708;-196.718;0;Bottom;Q16
119;;;260.198;-69.8073;0;Bottom;Via62
120;;;72.2384;-229.827;0;Bottom;Via107
121;;;191.618;-206.967;0;Bottom;Via171
122;;;82.3984;-173.947;0;Bottom;Via17
123;;;112.878;-229.827;0;Bottom;Via117
124;;TO92 [THT];272.708;-247.518;0;Bottom;Q11
125;;;293.219;-156.167;0;Bottom;Via54
126;;;173.838;-181.567;0;Bottom;Via146
127;;TO92 [THT];196.508;-90.0383;0;Bottom;Q49
128;;;125.578;-229.827;0;Bottom;Via118
129;;;293.219;-247.607;0;Bottom;Via44
130;;;117.958;-224.747;0;Bottom;Via111
131;;TO92 [THT];199.048;-280.538;0;Bottom;Q36
132;;;115.418;-222.207;0;Bottom;Via115
133;;;176.378;-133.307;0;Bottom;Via130
134;;;130.658;-69.8073;0;Bottom;Via86
135;;TO92 [THT];272.708;-145.918;0;Bottom;Q23
136;;;293.219;-112.987;0;Bottom;Via59
137;;TO92 [THT];272.708;-217.038;0;Bottom;Q14
138;;;163.678;-168.867;0;Bottom;Via157
139;;;158.598;-224.747;0;Bottom;Via96
140;;TO92 [THT];272.708;-206.878;0;Bottom;Q15
141;;;46.8384;-69.8073;0;Bottom;Via82
142;;;239.879;-69.8072;0;Bottom;Via64
143;;;171.298;-163.787;0;Bottom;Via134
144;;;156.058;-239.987;0;Bottom;Via163
145;;;166.218;-229.827;0;Bottom;Via122
146;;TO92 [THT];145.708;-90.0383;0;Bottom;Q44
147;;;117.958;-69.8073;0;Bottom;Via85
148;;;150.978;-151.087;0;Bottom;Via181
149;;TO92 [THT];148.248;-280.538;0;Bottom;Q32
150;;;-19.9526;-193.165;90;Bottom;Raspberry Pi 1
151;;;158.598;-151.087;0;Bottom;Via180
152;;;97.6384;-153.627;0;Bottom;Via20
153;;;110.338;-148.547;0;Bottom;Via177
154;;;293.219;-273.007;0;Bottom;Via42
155;;;255.118;-69.8073;0;Bottom;Via92
156;;;115.418;-168.867;0;Bottom;Via155
157;;;107.798;-69.8073;0;Bottom;Via84
158;;;186.538;-227.287;0;Bottom;Via16
159;;TO92 [THT];176.188;-90.0383;0;Bottom;Q50
160;;;178.918;-217.127;0;Bottom;Via125
161;;;107.798;-163.787;0;Bottom;Via137
162;;;112.878;-148.547;0;Bottom;Via175
163;;TO92 [THT];13.628;-90.0383;0;Bottom;Q61
164;;TO92 [THT];135.548;-90.0383;0;Bottom;Q10
165;;;176.378;-69.8073;0;Bottom;Via71
166;;DIP16 [THT];116.689;-137.117;-90;Bottom;U6
167;;TO92 [THT];23.788;-90.0383;0;Bottom;Q57
168;;;168.758;-69.8073;0;Bottom;Via72
169;;TO92 [THT];186.348;-280.538;0;Bottom;Q35
170;;;293.219;-176.487;0;Bottom;Via52
171;;;84.9384;-168.867;0;Bottom;Via152
172;;;181.458;-189.187;0;Bottom;Via18
173;;;194.158;-194.267;0;Bottom;Via127
174;;;123.038;-163.787;0;Bottom;Via136
175;;;293.219;-227.287;0;Bottom;Via46
176;;;191.618;-229.827;0;Bottom;Via168
177;;;150.978;-229.827;0;Bottom;Via120
178;;;123.038;-219.667;0;Bottom;Via139
179;;TO92 [THT];244.768;-280.538;0;Bottom;Q40
180;;DIP16 [THT];119.229;-248.877;90;Bottom;U1
181;;;166.218;-173.947;0;Bottom;Via98
182;;TO92 [THT];272.708;-112.898;0;Bottom;Q26
183;;;102.718;-133.307;0;Bottom;Via179
184;;TO92 [THT];84.748;-90.0383;0;Bottom;Q60
185;;TO92 [THT];224.448;-280.538;0;Bottom;Q38
186;;;194.158;-179.027;0;Bottom;Via129
187;;;173.838;-219.667;0;Bottom;Via145
188;;;163.678;-219.667;0;Bottom;Via144
189;;TO92 [THT];44.108;-90.0383;0;Bottom;Q3
190;;;293.219;-217.127;0;Bottom;Via47
191;;;176.378;-153.627;0;Bottom;Via172
192;;;107.799;-69.8072;0;Bottom;Via183
193;;;120.498;-168.867;0;Bottom;Via154
194;;TO92 [THT];69.508;-280.538;0;Bottom;Q41
195;;;123.038;-234.907;0;Bottom;Via104
196;;;115.418;-227.287;0;Bottom;Via106
197;;;194.158;-69.8073;0;Bottom;Via69
198;;;102.718;-148.547;0;Bottom;Via178
199;;;267.818;-69.8073;0;Bottom;Via61
200;;TO92 [THT];105.068;-90.0383;0;Bottom;Q5
201;;TO92 [THT];56.808;-280.538;0;Bottom;Q42
202;;;293.219;-196.807;0;Bottom;Via49
203;;;87.4784;-163.787;0;Bottom;Via138
204;;TO92 [THT];125.388;-90.0383;0;Bottom;Q6
205;;;293.219;-123.147;0;Bottom;Via58
