*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=circuitoMain2
*Date=18:29:46
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;125.578;-146.007;0;Bottom;Via21
2;;;143.359;-79.9672;0;Bottom;Via227
3;;TO92 [THT];176.188;-90.0383;0;Bottom;Q50
4;;;295.759;-224.747;0;Bottom;Via244
5;;THT;171.299;-284.437;0;Bottom;J32
6;;TO92 [THT];79.668;-270.378;0;Bottom;Q27
7;;TO92 [THT];155.868;-90.0383;0;Bottom;Q47
8;;TO92 [THT];272.708;-145.918;-90;Bottom;Q23
9;;TO92 [THT];272.708;-166.238;-90;Bottom;Q21
10;;;110.338;-148.547;0;Bottom;Via177
11;;;168.758;-179.027;0;Bottom;Via156
12;;TO92 [THT];272.708;-186.558;-90;Bottom;Q17
13;;TO92 [THT];94.908;-90.0383;0;Bottom;Q7
14;;;166.218;-156.167;0;Bottom;Via158
15;;;125.578;-229.827;0;Bottom;Via118
16;;;189.027;-234.931;0;Bottom;Via165
17;;;117.958;-156.167;0;Bottom;Via147
18;100;0402 [SMD];92.5585;-276.197;-90;Top;R43
19;;;163.678;-239.987;0;Bottom;Via140
20;;THT;123.039;-68.5372;0;Bottom;J9
21;;THT;54.4585;-284.437;0;Bottom;J23
22;100;0402 [SMD];291.329;-257.767;0;Top;R39
23;;TO92 [THT];272.708;-247.518;-90;Bottom;Q11
24;;TO92 [THT];54.268;-90.0383;0;Bottom;Q58
25;;;171.298;-186.647;0;Bottom;Via99
26;;;107.799;-85.0472;0;Bottom;Via183
27;;THT;77.3185;-284.437;0;Bottom;J25
28;100;0402 [SMD];133.199;-75.5372;-90;Top;R13
29;;;62.0785;-79.9672;0;Bottom;Via235
30;;THT;214.479;-68.5372;0;Bottom;J21
31;;;120.498;-168.867;0;Bottom;Via154
32;;;277.979;-199.347;0;Bottom;Via49
33;;THT;102.719;-68.5372;0;Bottom;J11
34;;;194.158;-194.267;0;Bottom;Via127
35;100;0402 [SMD];291.329;-173.947;0;Top;R30
36;;TO92 [THT];272.708;-133.218;-90;Bottom;Q24
37;;;72.2384;-222.207;0;Bottom;Via108
38;;TO92 [THT];272.708;-176.398;-90;Bottom;Q18
39;;TO92 [THT];84.748;-90.0383;0;Bottom;Q60
40;;;224.895;-59.6985;0;Bottom;Via255
41;;;117.958;-214.587;0;Bottom;Via112
42;;;102.719;-79.9672;0;Bottom;Via231
43;;TO92 [THT];13.628;-90.0383;0;Bottom;Q61
44;;;156.058;-163.787;0;Bottom;Via135
45;;;158.598;-224.747;0;Bottom;Via96
46;;TO92 [THT];110.148;-270.378;0;Bottom;Q43
47;100;0402 [SMD];145.899;-276.197;-90;Top;R47
48;;;295.759;-245.067;0;Bottom;Via242
49;;;29.0585;-79.9672;0;Bottom;Via238
50;100;0402 [SMD];31.5985;-75.5372;-90;Top;R3
51;3V;;17.6285;-273.007;90;Bottom;VCC1
52;;DIP16 [THT];200.509;-218.397;180;Bottom;U3
53;100;0402 [SMD];158.599;-278.737;-90;Top;R49
54;100;0402 [SMD];291.329;-224.747;0;Top;R35
55;;TO92 [THT];226.988;-90.0383;0;Bottom;Q56
